ANO,VALOR
2010,1.758634865900383
2011,1.6739292307692308
2012,1.9540333333333333
2013,2.1586540229885056
2014,2.353841379310345
2015,3.33504214559387
2016,3.482428735632184
2017,3.192079230769231
2018,3.654078927203065
2019,3.9451015325670493
2020,5.155511450381679
2021,5.396434865900383
2022,5.161968076923077
2023,4.9940834615384615
