DATA_MEDICAO,INSOLACAO_TOTAL_H,NEBULOSIDADE_MEDIA_DECIMOS,PRECIPITACAO_TOTAL_MM,TEMP_MAX_MEDIA_C,TEMP_MEDIA_COMP_C,TEMP_MIN_MEDIA_C,UMIDADE_MEDIA_PCT
2017-04-30,174.0,5.8,139.3,21.9,17.0,13.8,78.4
2017-05-31,124.8,7.4,282.4,19.5,15.6,12.9,84.3
2017-06-30,171.5,5.6,181.1,18.4,13.6,10.5,78.9
2017-07-31,247.8,3.0,28.7,20.2,14.4,10.5,67.3
2017-08-31,212.7,5.0,153.4,20.9,14.9,10.7,75.5
2017-09-30,156.2,6.0,116.8,24.6,18.7,14.9,77.0
2017-10-31,173.8,7.2,210.2,22.4,17.1,13.4,76.5
2017-11-30,238.5,4.9,207.0,23.6,17.6,13.0,73.1
2017-12-31,203.6,6.0,113.9,27.1,21.3,16.9,77.8
2018-01-31,182.7,6.8,169.9,26.4,21.1,17.4,79.0
2018-02-28,221.7,5.1,121.3,26.2,20.5,16.5,75.5
2018-03-31,177.4,6.6,117.7,25.4,20.1,16.6,80.2
2018-04-30,199.4,5.3,127.4,25.2,19.9,16.6,78.0
2018-05-31,163.8,6.1,124.8,20.2,15.4,12.3,80.1
2018-06-30,141.1,6.4,166.7,17.0,11.9,8.6,81.4
2018-07-31,144.5,7.2,187.8,17.8,12.9,9.5,83.4
2018-08-31,172.2,5.6,173.1,17.6,12.0,8.3,79.6
2018-09-30,158.8,6.3,233.0,21.7,16.7,13.3,80.9
2018-10-31,184.3,7.1,237.5,22.1,16.8,12.9,79.3
2018-11-30,220.3,5.4,204.2,25.5,19.6,15.1,72.7
2018-12-31,240.2,5.5,200.0,26.8,21.0,16.8,73.2
2019-01-31,178.3,6.8,140.3,29.0,23.5,19.7,78.1
2019-02-28,192.4,6.2,133.0,26.0,20.8,17.2,78.6
2019-03-31,193.5,6.3,114.9,24.5,19.4,16.2,80.3
2019-04-30,154.0,6.7,187.2,23.2,18.5,15.5,85.7
2019-05-31,99.1,7.5,214.5,20.0,15.9,13.6,88.9
2019-06-30,169.9,5.9,33.0,21.0,16.1,12.9,76.0
